longitude,house_age,area,parking_space,bedroom,living_room,bathroom,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,lower_floor,middle_floor,higher_floor,sale_floor_count,total_floor,price
0.8099313196147477,0.0075075075075075,0.0120990044247787,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,1,0,0,0,0,0,0.125,0.2068965517241379,9380000
0.8064223604054348,0.0,0.0157444187449718,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,0,1,0,0,0,0,0.125,0.4827586206896552,12000000
0.8575676404750823,0.0435435435435435,0.0124604032582461,0.05,0.09375,0.0952380952380952,0.019047619047619,1,0,0,0,0,0,0,0,0.125,0.1379310344827586,7820000
0.9017182055552836,0.042042042042042,0.0031268855591311,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.125,0.2068965517241379,900000
0.7671287592181955,0.057057057057057,0.0090349708366854,0.0,0.125,0.0952380952380952,0.019047619047619,0,1,0,0,1,1,1,1,0.25,0.0344827586206896,3000000
0.9017182055552836,0.042042042042042,0.009390084473049,0.0,0.09375,0.0476190476190476,0.0095238095238095,1,0,0,0,0,0,0,0,0.125,0.1379310344827586,3800000
0.8065998703904427,0.0585585585585585,0.0082241804102976,0.0,0.125,0.0952380952380952,0.0095238095238095,1,0,0,0,0,0,0,0,0.125,0.1034482758620689,4270000
0.942183299080142,0.063063063063063,0.0075013827433628,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.125,0.1034482758620689,8100000
0.8845818312682923,0.039039039039039,0.0023758045052292,0.0,0.03125,0.0476190476190476,0.0095238095238095,0,0,0,1,0,0,0,0,0.125,0.3793103448275862,1510000
0.85969747504069,0.0195195195195195,0.0053612731295253,0.05,0.09375,0.0476190476190476,0.0095238095238095,0,0,1,0,0,0,0,0,0.125,0.3103448275862069,6800000
0.9391250001991692,0.036036036036036,0.013211484312148,0.0,0.09375,0.0952380952380952,0.019047619047619,0,0,0,1,0,0,0,0,0.125,0.4827586206896552,14680000
0.8413345208290082,0.0105105105105105,0.0150059080852775,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,0,1,0,0,0,0,0.125,0.4137931034482758,16300000
0.8217517755022072,0.0255255255255255,0.0220390436444086,0.0,0.125,0.0952380952380952,0.0380952380952381,0,1,0,0,1,1,1,1,0.625,0.1379310344827586,16250000
0.903614555270508,0.069069069069069,0.0069734261866452,0.0,0.09375,0.0952380952380952,0.0095238095238095,1,0,0,0,0,0,0,0,0.125,0.1034482758620689,4650000
0.8088326833934047,0.0,0.0093995122687047,0.05,0.0625,0.0476190476190476,0.0095238095238095,0,0,1,0,0,0,0,0,0.125,0.3103448275862069,4710000
0.8965286216142943,0.075075075075075,0.0102951528559935,0.0,0.125,0.0952380952380952,0.0285714285714285,0,1,0,0,1,1,1,1,0.25,0.0344827586206896,21500000
0.8827615249826408,0.0375375375375375,0.0141165526950925,0.0,0.09375,0.0952380952380952,0.019047619047619,0,0,1,0,0,0,0,0,0.125,0.2068965517241379,10800000
0.881466826262681,0.012012012012012,0.0035385659694288,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.125,0.3103448275862069,3700000
0.9763505820168064,0.0585585585585585,0.0097734814963797,0.0,0.09375,0.0952380952380952,0.019047619047619,1,0,0,0,0,0,0,0,0.125,0.1379310344827586,7400000
0.9099146307885064,0.042042042042042,0.0083310287610619,0.1,0.0625,0.0952380952380952,0.0095238095238095,0,0,1,0,0,0,0,0,0.125,0.1379310344827586,8350000
0.8142867188747971,0.0,0.0101757341110217,0.0,0.125,0.0952380952380952,0.019047619047619,0,1,0,0,1,1,1,1,0.125,0.0,8800000
0.8754898430806293,0.036036036036036,0.0083121731697506,0.0,0.09375,0.0952380952380952,0.019047619047619,1,0,0,0,0,0,0,0,0.125,0.1379310344827586,5550000
0.841963075111579,0.003003003003003,0.0091449617860016,0.05,0.09375,0.0952380952380952,0.0095238095238095,0,0,1,0,0,0,0,0,0.125,0.2068965517241379,7700000
0.900699700713119,0.0,0.0042802192276749,0.0,0.03125,0.0476190476190476,0.0095238095238095,0,0,1,0,0,0,0,0,0.125,0.2413793103448275,2600000
0.9014784664090314,0.045045045045045,0.0100154615848753,0.0,0.09375,0.0952380952380952,0.019047619047619,1,0,0,0,0,0,0,0,0.125,0.1379310344827586,6700000
0.9758787583762398,0.039039039039039,0.0113950623491552,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,1,0,0,0,0,0,0.125,0.2068965517241379,11560000
0.875993196956955,0.045045045045045,0.0040570947304907,0.0,0.03125,0.0476190476190476,0.0095238095238095,0,0,0,1,0,0,0,0,0.125,0.3793103448275862,3200000
0.8729355338805647,0.036036036036036,0.0026272123893805,0.0,0.03125,0.0476190476190476,0.0095238095238095,0,0,0,1,0,0,0,0,0.125,0.5517241379310345,2300000
0.8621927172595747,0.0525525525525525,0.0100657431617055,0.0,0.09375,0.0952380952380952,0.019047619047619,1,0,0,0,0,0,0,0,0.125,0.1379310344827586,5400000
0.9171115270407596,0.0495495495495495,0.012579822003218,0.0,0.09375,0.0952380952380952,0.019047619047619,1,0,0,0,0,0,0,0,0.125,0.1379310344827586,9400000
0.7961603232347159,0.012012012012012,0.0166809131134352,0.0,0.125,0.0952380952380952,0.0285714285714285,0,1,0,0,1,1,1,1,0.375,0.0689655172413793,9050000
0.9024160790785628,0.0,0.0129066522526146,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,1,0,0,0,0,0,0.125,0.1379310344827586,4600000
