Longitude,Latitude,House-Age,Area,Property-Type,Purpose,Floor,Elevator,Janitor,Parking-Space,Closing-Date,Price,Bedroom,Living Room,Bathroom
121.01734646395064,24.784049908579533,14,46.76,住宅大樓(11層含以上有電梯),住家用,四層/十五層,有,有,1,112/09/18,"24,680,000",3,2,2
120.95549961400924,24.80313081621968,14,15.54,華廈(10層含以下有電梯),辦公用,六層/十層,有,有,0,112/09/05,"6,330,000",1,1,1
120.96735810562215,24.76924036632588,1,45.07,華廈(10層含以下有電梯),其他,六層/六層,有,有,1,112/09/02,"16,310,000",0,0,0
120.95594476772096,24.80298649963809,15,13.05,華廈(10層含以下有電梯),辦公用,二層/十層,有,有,0,112/09/23,"5,300,000",1,1,1
120.98936727766336,24.7997423037825,30,60.91,住宅大樓(11層含以上有電梯),商業用,十四層/二十三層,有,有,1,112/09/04,"12,500,000",0,0,0
121.0254054226018,24.778577391903003,25,44.85,住宅大樓(11層含以上有電梯),住家用,十四層/十四層,有,有,1,112/09/02,"16,350,000",3,2,2
120.98056228517484,24.8131308484716,21,36.28,住宅大樓(11層含以上有電梯),住家用,十三層/十三層,有,有,1,112/09/05,"10,000,000",5,2,2
120.95549961400924,24.80313081621968,14,17.28,華廈(10層含以下有電梯),辦公用,八層/十層,有,有,1,112/09/04,"7,600,000",2,1,1
120.962237874765,24.79529582198476,18,8.21,華廈(10層含以下有電梯),住家用,五層/六層,有,有,0,112/09/06,"2,800,000",1,1,1
120.98807036475723,24.81232808872525,9,46.68,住宅大樓(11層含以上有電梯),住家用,十四層/十四層,有,有,1,112/09/03,"20,000,000",3,2,2
120.95309619892636,24.80275991006005,14,56.42,住宅大樓(11層含以上有電梯),住家用,五層/十四層,有,有,1,112/09/05,"15,000,000",3,2,2
120.95104419030922,24.81432490598176,29,39.13,透天厝,住家用,全/四層,無,有,0,112/09/08,"9,000,000",4,2,2
120.99638973957774,24.80251442207175,16,60.89,住宅大樓(11層含以上有電梯),住家用,二層/十二層,有,有,2,112/09/05,"25,200,000",3,2,2
121.00236386269248,24.796393040707173,16,10.90,華廈(10層含以下有電梯),住家用,三層/六層,有,有,0,112/09/04,"5,980,000",1,1,1
121.01318314796754,24.786235265023404,28,26.60,住宅大樓(11層含以上有電梯),住家用,十層/十三層,有,有,0,112/09/02,"11,350,000",3,2,2
120.95486305467192,24.81286347671036,41,31.83,公寓(5樓含以下無電梯),住家用,二層/五層,無,無,0,112/09/09,"4,900,000",3,2,2
120.96935493927204,24.77185006580257,23,114.26,透天厝,住家用,全/四層,無,有,0,112/09/12,"35,500,000",6,4,7
120.97913720106824,24.816958783167205,29,18.59,住宅大樓(11層含以上有電梯),住家用,九層/十四層,有,有,0,112/09/06,"4,980,000",1,2,1
120.92768163704748,24.84410977078556,40,26.17,公寓(5樓含以下無電梯),住家用,二層/四層,無,無,0,112/09/02,"4,270,000",4,2,1
121.01636729880414,24.78337286231268,28,32.71,華廈(10層含以下有電梯),住家用,六層/七層,有,有,1,112/09/11,"11,520,000",3,2,2
120.9624350684097,24.797345383926658,26,9.81,住宅大樓(11層含以上有電梯),辦公用,十層/十七層,有,有,0,112/09/16,"2,600,000",0,0,0
120.96868178453312,24.814121987741284,27,13.94,住宅大樓(11層含以上有電梯),住家用,六層/十二層,有,無,0,112/09/15,"5,380,000",1,1,1
120.98672615149796,24.80213467576688,11,87.69,住宅大樓(11層含以上有電梯),商業用,"一層,二層/十四層",有,有,2,112/09/13,"35,500,000",4,1,2
120.98437077381038,24.812481240122494,10,43.51,住宅大樓(11層含以上有電梯),住家用,七層/十四層,有,有,1,112/09/02,"22,200,000",2,2,2
121.01033432713868,24.77960846127178,36,42.55,透天厝,住家用,全/二層,無,無,0,112/09/20,"22,000,000",4,2,3
120.95754269755288,24.816015245918624,17,58.81,透天厝,住家用,全/四層,無,無,0,112/09/06,"17,400,000",4,2,6
120.96624943229403,24.810094695361947,17,10.61,住宅大樓(11層含以上有電梯),住家用,六層/十一層,有,有,0,112/09/15,"3,100,000",0,0,0
120.9772292204551,24.810241232794404,26,48.02,透天厝,住商用,全/二層,無,無,0,112/09/08,"29,800,000",3,2,2
121.00839699006924,24.793982182925685,8,39.52,華廈(10層含以下有電梯),住家用,四層/十層,有,有,1,112/09/02,"16,300,000",2,2,1
120.967287871392,24.81082624130781,24,106.72,住宅大樓(11層含以上有電梯),住家用,八層/十三層,有,有,2,112/09/09,"30,000,000",5,2,3
120.92972171429406,24.788259817203347,16,8.74,華廈(10層含以下有電梯),住家用,五層/六層,有,有,1,112/09/01,"1,350,000",1,1,1
120.96379949920892,24.79902503062773,28,29.63,住宅大樓(11層含以上有電梯),住家用,十一層/十四層,有,有,0,112/09/03,"5,000,000",2,1,1
120.95279043850093,24.80047557884141,4,58.78,住宅大樓(11層含以上有電梯),住家用,十二層/十二層,有,有,2,112/09/01,"17,000,000",3,2,2
120.97821729255143,24.81654335003133,16,57.72,透天厝,住家用,全/五層,有,無,3,112/09/01,"13,972,000",6,2,8
120.96311753023052,24.797336524724813,23,13.04,住宅大樓(11層含以上有電梯),住家用,九層/十四層,有,有,0,112/09/08,"4,090,000",1,1,1
121.01130469899294,24.7930700971635,47,20.83,透天厝,住家用,全/二層,無,無,0,112/09/13,"13,000,000",5,2,1
120.9337377198115,24.842803425810924,28,35.44,華廈(10層含以下有電梯),住家用,四層/五層,有,有,0,112/09/15,"5,800,000",6,1,6
120.9772207592413,24.802413413248573,10,6.75,透天厝,商業用,全/一層,無,無,0,112/09/20,"13,800,000",0,0,0
120.93829866141688,24.803549057582376,49,31.18,透天厝,住家用,全/二層,無,無,0,112/09/08,"7,800,000",6,1,6
120.99002979065482,24.801963382265825,9,57.40,住宅大樓(11層含以上有電梯),辦公用,十四層/十五層,有,有,1,112/09/12,"26,700,000",4,2,2
120.97998633750508,24.765278995318575,17,66.89,透天厝,住家用,全/四層,無,有,0,112/09/23,0,4,2,3
120.95850407132032,24.81051709322911,29,41.64,住宅大樓(11層含以上有電梯),其他,四層/十一層,有,有,1,112/09/28,"7,700,000",3,2,2
120.96505199692176,24.812008483602227,26,9.02,住宅大樓(11層含以上有電梯),辦公用,十二層/十二層,有,有,0,112/09/11,"1,950,000",0,0,0
121.00781332979784,24.792004933561245,9,42.04,住宅大樓(11層含以上有電梯),住家用,九層/十四層,有,有,1,112/09/04,"19,500,000",2,2,1
120.96830564222644,24.77616553725652,19,25.57,華廈(10層含以下有電梯),住家用,地下一層/四層,有,有,1,112/09/09,"6,300,000",1,1,1
120.95142678742906,24.797134549994365,28,32.36,華廈(10層含以下有電梯),住家用,三層/十層,有,有,0,112/09/03,"8,300,000",3,2,2
120.96178092541372,24.80176924045228,16,11.44,華廈(10層含以下有電梯),辦公用,八層/十層,有,有,0,112/09/04,"5,550,000",1,1,1
121.016396923727,24.783038802740176,40,30.98,公寓(5樓含以下無電梯),住家用,五層/五層,無,有,0,112/08/27,"6,800,000",3,2,2
121.00901026500098,24.794912084654595,28,31.31,華廈(10層含以下有電梯),住家用,八層/八層,有,有,1,112/08/20,"12,500,000",2,2,1
120.97091816614372,24.810781846342685,40,24.49,公寓(5樓含以下無電梯),住家用,二層/四層,無,無,0,112/08/12,"7,500,000",3,2,2
120.9636279989372,24.81052745573664,32,10.42,華廈(10層含以下有電梯),住家用,三層/五層,有,無,0,112/08/23,"4,180,000",1,1,1
121.02610724790242,24.777096567782536,24,80.94,透天厝,住家用,全/四層,有,無,0,112/08/13,"39,900,000",0,0,0
121.011096769787,24.79046986385436,9,52.84,住宅大樓(11層含以上有電梯),住家用,十四層/二十五層,有,有,1,112/08/26,"27,500,000",4,1,2
120.94339436403816,24.799731975449227,34,43.85,透天厝,住家用,全/二層,無,無,0,112/08/31,"10,600,000",3,2,2
121.02748217586807,24.778649256761103,25,10.21,華廈(10層含以下有電梯),住家用,三層/五層,有,有,0,112/08/24,"2,600,000",0,0,0
120.9636279989372,24.81052745573664,32,10.42,華廈(10層含以下有電梯),住家用,四層/五層,有,無,0,112/08/28,"4,200,000",1,1,1
120.92072821222138,24.809328126770424,42,29.54,透天厝,住家用,全/二層,無,無,0,112/08/19,"6,270,000",0,0,0
120.9763875674727,24.814755399482,27,28.13,住宅大樓(11層含以上有電梯),住家用,十八層/二十層,有,有,0,112/08/26,"7,750,000",2,2,1
120.96569372104872,24.81654100184309,25,47.84,華廈(10層含以下有電梯),住家用,五層/十層,有,有,1,112/08/17,"13,000,000",3,2,2
120.96814158748688,24.79899894605712,30,31.29,華廈(10層含以下有電梯),住家用,六層/九層,有,無,0,112/08/14,"6,680,000",3,2,2
121.01394483566754,24.787761029341752,6,30.53,華廈(10層含以下有電梯),住家用,三層/九層,有,有,1,112/08/25,"16,500,000",2,2,1
120.97872180589904,24.81648924894347,16,38.12,透天厝,住商用,全/五層,無,無,2,112/08/25,"10,250,000",5,2,4
121.01013748135694,24.791183189331147,12,43.59,住宅大樓(11層含以上有電梯),住家用,三層/十二層,有,有,1,112/08/10,"21,550,000",3,2,2
120.95309619892636,24.80275991006005,14,56.42,住宅大樓(11層含以上有電梯),住家用,四層/十四層,有,有,1,112/08/03,"15,600,000",3,2,2
120.96463224492308,24.82713129730061,4,37.45,華廈(10層含以下有電梯),住家用,三層/九層,有,有,1,112/08/27,"14,600,000",2,1,1
120.95309619892636,24.80275991006005,14,61.34,住宅大樓(11層含以上有電梯),住家用,十三層/十三層,有,有,1,112/08/08,"17,500,000",4,2,2
121.01259011786964,24.78980161812669,4,53.84,住宅大樓(11層含以上有電梯),住家用,十六層/二十九層,有,有,1,112/08/17,"25,600,000",3,2,2
120.96675219270654,24.81653221192468,26,48.91,華廈(10層含以下有電梯),住家用,四層/七層,有,有,1,112/08/03,"12,580,000",3,2,2
120.96830564222644,24.77616553725652,19,15.26,華廈(10層含以下有電梯),住家用,地下二層/四層,有,有,0,112/08/23,"3,950,000",1,1,1
120.998457054414,24.796871556099973,32,10.37,華廈(10層含以下有電梯),住家用,四層/七層,有,有,0,112/08/29,"3,460,000",1,1,1
120.93104757603308,24.84079787178861,44,35.82,透天厝,住家用,全/二層,無,無,0,112/08/14,"6,500,000",3,2,2
121.00972207991866,24.791029724698213,10,31.74,住宅大樓(11層含以上有電梯),住家用,十二層/十四層,有,有,1,112/08/05,"16,000,000",1,1,1
120.96762674789728,24.800985115495106,35,7.13,住宅大樓(11層含以上有電梯),住家用,六層/十二層,有,有,0,112/08/21,"1,390,000",1,1,1
120.96156020653868,24.81187220770964,26,45.66,華廈(10層含以下有電梯),住家用,二層/六層,有,有,1,112/08/24,"9,900,000",4,2,2
120.97893839979923,24.764041929913997,26,52.93,透天厝,住家用,全/四層,無,有,0,112/08/04,"13,200,000",5,2,3
120.93603433387372,24.840601467200617,29,35.33,華廈(10層含以下有電梯),住家用,五層/七層,有,無,1,112/08/12,"2,800,000",3,2,1
121.01318314796754,24.786235265023404,28,26.60,住宅大樓(11層含以上有電梯),住家用,三層/十三層,有,有,0,112/08/12,"10,780,000",3,2,2
121.01053317653326,24.792203403823223,12,58.66,住宅大樓(11層含以上有電梯),住家用,十四層/十五層,有,有,1,112/08/28,"27,200,000",2,2,2
120.99274001088496,24.8008620508146,29,22.05,住宅大樓(11層含以上有電梯),住家用,十六層/十九層,有,有,0,112/08/01,"9,000,000",2,1,1
120.96819496083258,24.822401105771583,23,46.10,住宅大樓(11層含以上有電梯),住家用,十五層/二十層,有,有,1,112/08/07,"8,000,000",3,2,2
120.92755259431584,24.84482296535757,40,33.92,透天厝,住家用,全/二層,無,無,0,112/08/07,"5,000,000",3,2,2
120.9503750815197,24.75566560733057,25,9.74,公寓(5樓含以下無電梯),住家用,四層/四層,無,有,0,112/08/13,"1,250,000",1,1,1
120.97362580367351,24.82358491018132,31,31.71,華廈(10層含以下有電梯),住商用,"一層,二層,騎樓,地下層/七層",有,有,0,112/08/14,"1,800,000",4,2,2
