Longitude,Latitude,House-Age,Area,Property-Type,Purpose,Floor,Layout,Elevator,Janitor,Parking-Space,Closing-Date,Price
121.00881173069159,24.784664593141343,32,10.29,公寓(5樓含以下無電梯),住家用,二層/四層,1房1廳1衛,無,無,0,112/09/17,"4,500,000"
121.01734646395063,24.784049908579533,14,46.76,住宅大樓(11層含以上有電梯),住家用,四層/十五層,3房2廳2衛,有,有,1,112/09/18,"24,680,000"
120.98591750081538,24.780709643141464,44,30.63,透天厝,住家用,全/二層,4房2廳3衛,無,無,0,112/09/08,"7,000,000"
121.01459813578164,24.79257323470499,3,51.82,住宅大樓(11層含以上有電梯),住家用,十五層/二十一層,2房2廳2衛,有,有,1,112/09/03,"27,250,000"
120.93052156261014,24.843704830289543,8,45.50,住宅大樓(11層含以上有電梯),住家用,八層/十四層,3房2廳2衛,有,有,1,112/09/01,"11,300,000"
120.9775143870121,24.7647640092935,29,11.91,華廈(10層含以下有電梯),住家用,五層/七層,1房1衛,有,有,0,112/09/01,"2,700,000"
120.96868178453313,24.814121987741284,27,16.07,住宅大樓(11層含以上有電梯),住家用,八層/十二層,1房1廳1衛,有,有,0,112/09/19,"4,600,000"
120.96759153658277,24.822283599847616,25,21.59,住宅大樓(11層含以上有電梯),住家用,三層/二十一層,2房1廳1衛,有,有,0,112/09/06,"7,250,000"
120.97865304132785,24.813681339365072,30,8.53,華廈(10層含以下有電梯),住家用,五層/七層,1房1廳1衛,有,有,0,112/09/15,"3,300,000"
120.92972171429406,24.788259817203347,16,7.97,華廈(10層含以下有電梯),住家用,五層/六層,1房1廳1衛,有,有,0,112/09/30,"1,450,000"
120.96505199692177,24.812008483602227,26,8.58,住宅大樓(11層含以上有電梯),辦公用,十二層/十二層,1房1衛,有,有,0,112/09/18,"2,150,000"
120.9503750815197,24.755665607330574,25,9.62,華廈(10層含以下有電梯),住家用,十層/十層,1房1廳1衛,有,有,0,112/09/22,"1,100,000"
