longitude,latitude,house_age,area,elevator,janitor,parking_space,closing_year,bedroom,living_room,bathroom,residential,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,sale_floor_basement,sale_floor_other,lower_floor,middle_floor,higher_floor,sale_floor_count,total_floor,stock,price
0.9750488239001528,0.9249509121057252,0.036036036036036,0.0660277505147893,1,1,0.0,112,0.09375,0.0952380952380952,0.019047619047619,1,False,False,True,False,0,0,0,0,0,0,0.125,0.2068965517241379,0.8382481626904703,12200000
0.9125991784463564,0.9433208615257412,0.036036036036036,0.0290014048457556,1,1,0.0,112,0.0,0.0,0.0,0,False,False,True,False,0,0,0,0,0,0,0.125,0.2758620689655172,0.7681273738937284,2800000
0.8950957185061839,0.9500343719210173,0.066066066066066,0.0556357408155803,0,0,0.0,112,0.09375,0.0952380952380952,0.019047619047619,1,True,False,False,False,0,0,0,0,0,0,0.125,0.1379310344827586,0.8437273020077187,7600000
0.8321018382601721,0.9879647924779568,0.042042042042042,0.0715316667628889,1,1,0.05,112,0.09375,0.0952380952380952,0.019047619047619,1,False,False,True,False,0,0,0,0,0,0,0.125,0.1724137931034483,0.8382481626904703,5600000
0.9686690586835311,0.929571383924884,0.0045045045045045,0.1036121855935954,1,1,0.05,112,0.09375,0.0952380952380952,0.019047619047619,1,False,False,False,True,0,0,0,0,0,0,0.125,0.9655172413793104,0.8437273020077187,25600000
0.8970041717999777,0.9451057635689396,0.021021021021021,0.0222465985412697,1,1,0.0,112,0.03125,0.0476190476190476,0.0095238095238095,0,False,False,True,False,0,0,0,0,0,0,0.125,0.2758620689655172,0.7321971197148684,5680000
0.8755398931856462,0.940835715335826,0.0405405405405405,0.0988780478417335,1,1,0.05,112,0.09375,0.0952380952380952,0.019047619047619,0,False,False,False,True,0,0,0,0,0,0,0.125,0.4482758620689654,0.8382481626904703,9150000
0.9826743404223066,0.921454946345623,0.012012012012012,0.0616977464734522,1,1,0.05,112,0.03125,0.0952380952380952,0.019047619047619,0,False,False,True,False,0,0,1,0,0,0,0.125,0.2758620689655172,0.7396332872240996,15200000
0.9006411223664088,0.9033820064144322,0.012012012012012,0.0573100090448973,1,1,0.05,112,0.0625,0.0952380952380952,0.019047619047619,1,False,False,True,False,0,0,0,0,0,0,0.125,0.1379310344827586,0.7681273738937284,9450000
0.8605471628460464,0.945673761970074,0.0195195195195195,0.0249600677405076,1,1,0.0,112,0.09375,0.0952380952380952,0.019047619047619,0,False,False,True,False,0,0,0,0,0,0,0.125,0.3103448275862069,0.7396332872240996,5600000
0.8831576046630119,0.9642900465048356,0.027027027027027,0.0937397763793468,1,1,0.0,112,0.09375,0.0952380952380952,0.019047619047619,1,False,False,False,True,0,0,0,0,0,0,0.125,0.4137931034482758,0.7396332872240996,13500000
0.8159726423340032,0.9896143830615358,0.021021021021021,0.0363912784096376,1,1,0.0,112,0.03125,0.0476190476190476,0.0095238095238095,1,False,False,False,True,0,0,0,0,0,0,0.125,0.4482758620689654,0.8714470348253294,5200000
0.8603199461933002,0.9468645632240856,0.0225225225225225,0.0982237361199314,1,1,0.1,112,0.09375,0.0952380952380952,0.019047619047619,1,False,False,False,True,0,0,0,0,0,0,0.125,0.4137931034482758,0.8382481626904703,16700000
0.7672779529634397,0.8835233288062234,0.066066066066066,0.0451475088043415,0,0,0.0,112,0.125,0.1428571428571428,0.0380952380952381,1,False,True,False,False,1,0,0,1,1,1,0.125,0.0,0.8382481626904703,14380000
0.936576116527732,0.9432998847563354,0.033033033033033,0.0822123433981871,1,1,0.0,112,0.09375,0.0952380952380952,0.019047619047619,1,False,False,False,True,0,0,0,0,0,0,0.125,0.3793103448275862,0.8160331914881116,14650000
0.8584277463679655,0.9542960188427578,0.072072072072072,0.0605045898042838,0,0,0.0,112,0.125,0.0952380952380952,0.0285714285714285,1,False,True,False,False,1,0,0,1,1,1,0.375,0.0689655172413793,0.7086634639740743,7620000
0.9664417165487292,0.9312144430841371,0.0105105105105105,0.0900063506725939,1,1,0.05,112,0.0625,0.0952380952380952,0.0095238095238095,1,False,False,False,True,0,0,0,0,0,0,0.125,0.896551724137931,0.8160331914881116,23800000
0.8917001421836801,0.9417531337270048,0.0525525525525525,0.0592536997478975,0,0,0.0,112,0.09375,0.0952380952380952,0.019047619047619,1,True,False,False,False,0,0,0,0,0,0,0.125,0.1379310344827586,0.8941226304671372,4100000
0.8848589625159207,0.95927326523449,0.039039039039039,0.0300021168908646,1,1,0.0,112,0.0625,0.0476190476190476,0.019047619047619,1,False,False,False,True,0,0,0,0,0,0,0.125,0.3793103448275862,0.8437273020077187,3000000
0.8726507761302571,0.9421143359143224,0.063063063063063,0.0758039374170082,0,0,0.0,112,0.125,0.0952380952380952,0.0285714285714285,0,False,True,False,False,1,0,0,1,1,1,0.5,0.1034482758620689,0.7321971197148684,11500000
0.8769508439014828,0.9095648850457536,0.0585585585585585,0.0494775128456786,0,0,0.0,112,0.125,0.0952380952380952,0.0380952380952381,1,False,True,False,False,1,0,0,1,1,1,0.25,0.0344827586206896,0.7681273738937284,6100000
0.7996705122135097,0.9345545193649124,0.0435435435435435,0.1372899948039951,0,1,0.0,112,0.125,0.0952380952380952,0.0380952380952381,1,False,True,False,False,1,0,0,1,1,1,0.5,0.1034482758620689,0.8941226304671372,15000000
0.863758515045987,0.9423002515104636,0.0,0.0825202547966822,1,1,0.0,112,0.09375,0.0952380952380952,0.019047619047619,1,False,False,True,False,0,0,0,0,0,0,0.125,0.1379310344827586,0.8437273020077187,9000000
