longitude,latitude,house_age,area,elevator,janitor,parking_space,closing_year,bedroom,living_room,bathroom,residential,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,sale_floor_basement,sale_floor_other,lower_floor,middle_floor,higher_floor,sale_floor_count,total_floor,price
0.962584549186886,0.7726471958667389,0.0,0.1913047556514398,1,1,0.1111111111111111,109,0.2,0.25,0.0909090909090909,1,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.6551724137931035,28180000
0.962584549186886,0.7726471958667389,0.0,0.1987618422286839,1,1,0.1111111111111111,109,0.2,0.25,0.0909090909090909,1,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.6551724137931035,29000000
0.831000985927858,0.8013617173169223,0.0,0.0882656411218459,1,1,0.0,109,0.1,0.125,0.0909090909090909,1,0,0,1,0,0,0,0,0,0,0,0.0909090909090909,0.1724137931034483,15230000
0.5726732466819158,0.8608855329977132,0.5757575757575758,0.1704811931338523,1,0,0.0,109,0.3,0.25,0.1818181818181818,1,0,0,1,0,0,0,0,0,0,0,0.0909090909090909,0.1724137931034483,22300000
0.4602239879800436,0.9073266584522344,0.1969696969696969,0.1268173717287309,1,1,0.1111111111111111,109,0.2,0.125,0.1818181818181818,1,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.4482758620689654,19700000
0.687496289702267,0.7118019506408473,0.4393939393939394,0.1912109558202795,1,1,0.0,109,0.4,0.125,0.1818181818181818,1,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.3793103448275862,29380000
0.2153804561903598,0.4818064682318663,0.3333333333333333,0.2517118469186756,1,1,0.1111111111111111,109,0.3,0.25,0.1818181818181818,1,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.3793103448275862,39200000
0.6154730756247773,0.1367187971151224,0.1818181818181818,0.4547415814651534,1,1,0.2222222222222222,109,0.3,0.25,0.1818181818181818,1,0,0,1,0,0,0,0,0,0,0,0.1818181818181818,0.1379310344827586,18850000
0.1339064532226075,0.4550008159261551,0.1666666666666666,0.0968014257574336,1,1,0.0,109,0.1,0.125,0.0909090909090909,1,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.5862068965517242,6300000
0.6988142543755202,0.8853773497055499,0.4848484848484848,0.1787824781915392,1,1,0.0,109,0.3,0.25,0.2727272727272727,1,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.5172413793103449,30000000
0.732221786795435,0.6010165435280896,0.696969696969697,0.0661757808835944,0,0,0.0,109,0.4,0.25,0.1818181818181818,1,1,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.1034482758620689,5000000
0.2621795189511431,0.2588153442187604,0.7121212121212122,0.1378388518900666,0,0,0.0,109,0.3,0.25,0.1818181818181818,1,1,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.1034482758620689,14360000
0.731908147048216,0.5946366326244288,0.3333333333333333,0.0791201575837163,1,1,0.0,109,0.2,0.125,0.0909090909090909,1,0,0,1,0,0,0,0,0,0,0,0.0909090909090909,0.2758620689655172,14000000
0.4602239879800436,0.9073266584522344,0.1969696969696969,0.10186661664009,1,1,0.0,109,0.3,0.25,0.1818181818181818,1,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.4482758620689654,18500000
0.5959932313403442,0.5454574415524576,0.1515151515151515,0.067301378857518,1,1,0.0,109,0.1,0.125,0.0909090909090909,1,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.6206896551724138,15300000
0.612842322128472,0.6852445292557832,0.0,0.2706125128974768,0,0,0.0,109,0.6000000000000001,0.5,0.3636363636363636,1,1,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.1034482758620689,27800000
0.5010280282940585,0.1770533417655997,0.6060606060606061,0.1039771128411969,0,0,0.0,109,0.2,0.25,0.1818181818181818,1,1,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.1379310344827586,9000000
0.249398367532649,0.4553522925641573,0.6363636363636364,0.2125504174092486,1,0,0.0,109,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0.0909090909090909,0.2068965517241379,37320000
0.3395818122689888,0.3938484538139164,0.5151515151515151,0.108338804990151,1,0,0.0,109,0.2,0.25,0.0909090909090909,1,0,0,1,0,0,0,0,0,0,0,0.0909090909090909,0.2068965517241379,17680000
0.4679550233622649,0.1596348718345552,0.393939393939394,0.4586811743738861,1,1,0.2222222222222222,109,0.2,0.25,0.1818181818181818,1,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.4827586206896552,46000000
0.1372634904855658,0.635788090300025,0.5454545454545455,0.1484382328111809,1,1,0.0,109,0.1,0.125,0.0909090909090909,1,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.3793103448275862,24750000
0.4879009164747003,0.9252977032178932,0.6212121212121212,0.1507363286746083,0,0,0.0,109,0.3,0.25,0.1818181818181818,1,1,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.1379310344827586,15000000
0.6790601931934361,0.9205526962825844,0.0,0.1338992589813338,0,0,0.0,109,0.3,0.125,0.0909090909090909,1,1,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.1034482758620689,13000000
0.4565471580031044,0.9121268751415528,0.0,0.073773567207579,0,0,0.0,109,0.1,0.125,0.0909090909090909,0,1,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.0344827586206896,18000000
0.3004970759225216,0.2403202394618802,0.5,0.1431385423506238,0,0,0.0,109,0.3,0.25,0.1818181818181818,1,1,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.1379310344827586,16000000
