longitude,house_age,area,parking_space,bedroom,living_room,bathroom,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,lower_floor,middle_floor,higher_floor,sale_floor_count,total_floor,price
0.8941661151539506,0.0045045045045045,0.0149147727272727,0.0,0.15625,0.0952380952380952,0.0476190476190476,0,1,0,0,1,1,1,1,0.5,0.1034482758620689,14500000
0.9725018658415934,0.0,0.0102260156878519,0.05,0.03125,0.0476190476190476,0.0095238095238095,0,0,0,1,0,0,0,0,0.125,0.6896551724137931,6960000
0.7958198732708581,0.057057057057057,0.0130543543845534,0.0,0.125,0.0952380952380952,0.0285714285714285,0,1,0,0,1,1,1,1,0.25,0.0344827586206896,9000000
0.9799740193178366,0.0,0.0148456355591311,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,0,1,0,0,0,0,0.125,0.7241379310344828,12590000
0.817458833697998,0.0045045045045045,0.0125012570394207,0.05,0.0625,0.0952380952380952,0.0095238095238095,0,0,1,0,0,0,0,0,0.125,0.2413793103448275,9900000
0.8522023207142695,0.0675675675675675,0.0085792940466613,0.0,0.125,0.0952380952380952,0.019047619047619,0,1,0,0,1,1,1,1,0.25,0.0344827586206896,8380000
0.8094239761437052,0.042042042042042,0.0099966059935639,0.0,0.09375,0.0952380952380952,0.019047619047619,0,0,1,0,0,0,0,0,0.125,0.1379310344827586,5700000
0.8551099529481974,0.0165165165165165,0.0179945193081255,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,0,1,0,0,0,0,0.125,0.3793103448275862,9800000
0.8956990482579101,0.0345345345345345,0.0179285247385358,0.0,0.125,0.0476190476190476,0.0380952380952381,0,0,1,0,0,0,0,0,0.125,0.3103448275862069,14600000
0.8893146970169994,0.0225225225225225,0.0433804304102976,0.0,0.09375,0.0952380952380952,0.019047619047619,0,1,0,0,1,1,1,1,0.375,0.0689655172413793,23320000
0.8355977635924603,0.0,0.0155181516492357,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,0,1,0,0,0,0,0.125,0.4827586206896552,8500000
0.872023288476953,0.036036036036036,0.0032745876910699,0.0,0.03125,0.0476190476190476,0.0095238095238095,0,0,1,0,0,0,0,0,0.125,0.1724137931034483,1530000
0.876102004828823,0.018018018018018,0.0031803097345132,0.0,0.03125,0.0476190476190476,0.0095238095238095,0,0,0,1,0,0,0,0,0.125,0.3448275862068965,2500000
0.8729179790204,0.0375375375375375,0.0113699215607401,0.05,0.125,0.0952380952380952,0.019047619047619,0,0,1,0,0,0,0,0,0.125,0.2068965517241379,7350000
0.9523969945541068,0.0615615615615615,0.0071022727272727,0.0,0.09375,0.0952380952380952,0.0095238095238095,1,0,0,0,0,0,0,0,0.125,0.1034482758620689,6000000
0.7690687553023565,0.0,0.0151441824215607,0.0,0.09375,0.1428571428571428,0.0285714285714285,0,1,0,0,1,1,1,1,0.5,0.1034482758620689,10200000
0.9048157542839874,0.039039039039039,0.008384452936444,0.0,0.0625,0.0952380952380952,0.0095238095238095,0,0,1,0,0,0,0,0,0.125,0.2413793103448275,6000000
0.9221746930602136,0.0315315315315315,0.0185759000402252,0.0,0.125,0.0952380952380952,0.0285714285714285,0,1,0,0,1,1,1,1,0.375,0.0689655172413793,15500000
0.8787064221215246,0.0105105105105105,0.0145408034995977,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,0,1,0,0,0,0,0.125,0.4137931034482758,15000000
0.8430840882436996,0.0585585585585585,0.0101820193081255,0.0,0.125,0.0952380952380952,0.0476190476190476,0,1,0,0,1,1,1,1,0.25,0.0344827586206896,9580000
0.9204894376880476,0.003003003003003,0.0146539370474658,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,0,1,0,0,0,0,0.125,0.4827586206896552,22500000
0.8090707040253733,0.0,0.0134314662107803,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,0,1,0,0,0,0,0.125,0.4827586206896552,7630000
0.9029544426086318,0.066066066066066,0.009217241552695,0.0,0.1875,0.0952380952380952,0.0285714285714285,0,1,0,0,1,1,1,1,0.25,0.0344827586206896,6550000
0.792765327960808,0.0375375375375375,0.0200592065567176,0.0,0.125,0.0952380952380952,0.0285714285714285,0,1,0,0,1,1,1,1,0.5,0.1034482758620689,6800000
0.9686690586835596,0.0,0.0156312851971037,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,0,1,0,0,0,0,0.125,0.9655172413793104,15300000
0.8960990288977086,0.0,0.0113322103781174,0.0,0.09375,0.0952380952380952,0.0380952380952381,1,0,0,0,0,0,0,0,0.125,0.1379310344827586,11000000
0.8476524601531708,0.0,0.0119355893000804,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,1,0,0,0,0,0,0.125,0.1379310344827586,12650000
0.8830952801580736,0.0555555555555555,0.0065680309734513,0.0,0.09375,0.0952380952380952,0.019047619047619,1,0,0,0,0,0,0,0,0.125,0.1379310344827586,3100000
0.8767671618506654,0.0375375375375375,0.0107948260257441,0.0,0.09375,0.0952380952380952,0.019047619047619,0,0,0,1,0,0,0,0,0.125,0.3793103448275862,7500000
0.8799344844177597,0.0525525525525525,0.0123158437248592,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.125,0.2068965517241379,8660000
0.9491496789962356,0.0225225225225225,0.0034254324215607,0.0,0.03125,0.0476190476190476,0.0095238095238095,0,0,1,0,0,0,0,0,0.125,0.1724137931034483,5980000
0.787893376376843,0.0015015015015015,0.01223413616251,0.05,0.09375,0.0952380952380952,0.019047619047619,0,0,1,0,0,0,0,0,0.125,0.1379310344827586,7000000
