Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,8618.599609,8668.950195,8442.190430,8462.570313,8462.538086,46511800
2014-02-01,8290.169922,8647.900391,8230.459961,8639.580078,8639.547852,39826500
2014-03-01,8627.150391,8849.280273,8508.009766,8849.280273,8849.248047,49636400
2014-04-01,8847.339844,9022.280273,8671.650391,8791.440430,8791.408203,48580800
2014-05-01,8846.860352,9139.570313,8803.429688,9075.910156,9075.875977,45539700
2014-06-01,9106.610352,9393.070313,9070.450195,9393.070313,9393.036133,49515600
2014-07-01,9393.070313,9593.679688,9313.870117,9315.849609,9315.815430,64922900
2014-08-01,9223.750000,9502.419922,9014.889648,9436.269531,9436.235352,46387500
2014-09-01,9474.410156,9532.660156,8860.169922,8966.919922,8966.886719,37874300
2014-10-01,8958.870117,9122.540039,8501.290039,8974.759766,8974.726563,40957900
2014-11-01,9009.379883,9217.730469,8828.150391,9187.150391,9187.116211,34399700
2014-12-01,9038.410156,9338.059570,8826.030273,9307.259766,9307.225586,46405900
2015-01-01,9292.309570,9523.730469,9043.440430,9361.910156,9361.875977,44435400
2015-02-01,9368.830078,9699.540039,9352.190430,9622.099609,9622.063477,23281700
2015-03-01,9665.110352,9775.629883,9472.540039,9586.440430,9586.404297,45858400
2015-04-01,9575.110352,10014.280273,9503.530273,9820.049805,9820.012695,47646800
2015-05-01,9853.509766,9871.650391,9536.160156,9701.070313,9701.033203,44291000
2015-06-01,9688.129883,9692.339844,9170.089844,9323.019531,9322.985352,43175800
2015-07-01,9311.759766,9404.759766,8516.230469,8665.339844,8665.307617,42910000
2015-08-01,8636.530273,8636.530273,7203.069824,8174.919922,8174.889160,47635800
2015-09-01,8117.500000,8488.530273,7907.310059,8181.240234,8181.209473,40057500
2015-10-01,8194.299805,8757.139648,8170.779785,8554.309570,8554.277344,40967100
2015-11-01,8571.530273,8871.870117,8217.339844,8320.610352,8320.578125,39049800
2015-12-01,8359.269531,8535.360352,7980.589844,8338.059570,8338.027344,41102000
2016-01-01,8315.790039,8326.330078,7627.890137,8080.600098,8080.569336,37346200
2016-02-01,8164.240234,8432.740234,7953.990234,8411.160156,8411.127930,24288500
