AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,pimg,pu,punit,r,reid,s,sq,t,tp,tunit,twn,type,unit,v
,丙種建築用地,藝術路００２９號六樓之７#藝術路２９號六樓之７,華廈(10層含以下有電梯),,49.02%,O,,220,112/07/25,有,61.75%,六層/六層,,1,874,1,1,2,24.769240366325878,120.96735810562217,有,,(總價-車位總價)/(總面積-車位總面積),預售屋、或土地及建物分件登記案件;,"408,122",bt_06.png,其他,1,103,,45.07,DEOU88cq2K0/lppm19dv2/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"16,800,000",1,O01,Biz,2,1廳2衛
住,,光華二街１７２巷００１弄０００５號#光華二街１７２巷１弄５號,公寓(5樓含以下無電梯),,72.44%,O,,,112/07/12,無,,一層/五層,,34,875,1,1,0,24.821816018863647,120.97800862482003,無,,總價/總面積,陽台外推;其他增建;,"306,850",bt_01.png,住家用,1,15,,24.44,XnhyVh4UQW9PFT+rpzZ9BfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"7,500,000",1,O01,Biz,2,3房2廳1衛
,乙種建築用地,樹下街０２９６之３號#樹下街２９６之３號,透天厝,,,O,,,112/07/12,有,,全/四層,,4,876,3,1,2,24.803618481772773,120.93182977709415,無,,總價/總面積,其他增建;,,bt_02.png,住家用,1,17,,57.51,eaNdwllEaiCJmZFyRwn3k/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"16,880,000",1,O01,Biz,2,3房2廳4衛
,乙種建築用地,牛埔北路０１８７之２１號５樓#牛埔北路１８７之２１號５樓,華廈(10層含以下有電梯),,74.08%,O,,,112/07/01,有,,五層/九層,,28,877,1,1,0,24.802664614987975,120.93918930108116,有,,總價/總面積,,"248,473",bt_06.png,住家用,1,75,,27.77,foMLRVjkP5qrEDhmXpr8GfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"6,900,000",1,O01,Biz,2,3房2廳1衛
,丙種建築用地,花園新城二街００２６號#花園新城二街２６號,透天厝,,,O,,,112/07/11,無,,全/三層,,,878,1,1,0,24.783510118331694,120.92837940228921,無,,總價/總面積,其他增建;,,bt_02.png,住家用,1,11,,55.51,vFXr95xOQzzPU3Jksd/IgvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"8,000,000",1,O01,Biz,2,15房15衛
住,,遊樂街０２９巷００２２號#遊樂街２９巷２２號,透天厝,,,O,,,112/07/12,無,,全/四層,,30,879,2,1,0,24.793881888143183,120.92405132778221,有,,總價/總面積,,,bt_02.png,住家用,1,50,,71.34,HJLMfdDedVLgkqCrgRyTMPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"15,000,000",1,O01,Biz,2,4房2廳4衛
商,,英明街００３６號二樓#英明街３６號二樓,華廈(10層含以下有電梯),,81.05%,O,,,112/07/31,有,,二層/六層,,32,880,1,1,0,24.80626661812595,120.9664680801145,有,,總價/總面積,,"380,717",bt_06.png,住家用,1,15,,30.99,geAe0HzHxQKQKUHPN16FkPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"11,800,000",1,O01,Biz,2,3房2廳2衛
商,,０５３９之９號五樓#經國路二段５３９之９號五樓,住宅大樓(11層含以上有電梯),,53.97%,O,,,112/07/31,有,,五層/十三層,,17,881,2,1,1,24.803961546515872,120.95582572830943,有,,總價/總面積,陽台外推;,"370,509",bt_05.png,住家用,1,111,,42.37,cGCg9fPAZM9G6WGX3FLMH/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"15,700,000",1,O01,Biz,2,3房2廳2衛
,乙種建築用地,虎林街１２３巷０１８弄０００７號#虎林街１２３巷１８弄７號,透天厝,,,O,,,112/07/15,無,,全/四層,,,882,1,1,0,24.80898494641358,120.93990830703879,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,,bt_02.png,住家用,1,13,,42.54,WZ5cV7geLkjHFmoUt40JVPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"7,000,000",1,O01,Biz,2,6房2廳6衛
住,,高峰路００２巷００８６號#高峰路２巷８６號,華廈(10層含以下有電梯),,71.49%,O,,,112/07/20,有,,一層/五層,,31,883,1,1,0,24.79114450931523,120.97049746659405,無,,總價/總面積,,"203,286",bt_06.png,住家用,1,45,,33.45,PKU27USHKWrnEl6hXLhy0fPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"6,800,000",1,O01,Biz,2,3房2廳2衛
住,,東大路二段１７３巷００１弄００３２號#東大路二段１７３巷１弄３２號,透天厝,,,O,,,112/07/06,無,,全/二層,,,884,1,1,0,24.81515036962875,120.96475435196074,無,,總價/總面積,34條之一案件,,bt_02.png,住家用,1,10,,31.59,eUR34AEcr3BRdwkwn3+np/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"10,200,000",1,O01,Biz,2,7房3廳3衛
住,,自由路０１６巷０１９弄００４４號#自由路１６巷１９弄４４號,透天厝,,,O,,,112/07/13,無,,全/二層,,,885,1,1,0,24.812138026111775,120.98318379030886,無,,總價/總面積,"其他增建包含鐵皮屋頂, 陽台, 上下樓梯內層, 三至四樓增建, 後院一至三樓亦為增建其他增建;",,bt_02.png,住家用,1,9,,28.73,qV1OgI8jDlA8kMH3JdCgBPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"12,500,000",1,O01,Biz,2,4房3廳3衛
,丙種建築用地,明湖路１０５０巷０２３０號２樓#明湖路１０５０巷２３０號２樓,公寓(5樓含以下無電梯),,54.76%,O,,,112/07/20,無,,二層/五層,,26,886,2,1,1,24.763761859590716,120.9776431121224,無,,總價/總面積,,"148,598",bt_01.png,住家用,1,165,,44.75,6YQYcHm2N05hzJp4Ct5MTPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"6,650,000",1,O01,Biz,2,4房2廳1衛
住,,明湖路２４３巷０１０９號七樓#明湖路２４３巷１０９號七樓,華廈(10層含以下有電梯),,48.78%,O,,,112/07/22,有,61.57%,七層/七層,,13,887,1,1,1,24.79000740687259,120.97315818096627,有,,總價/總面積,,"328,466",bt_06.png,住家用,1,39,,43.54,OR3TxHl2YQqP+GBGwlRf6/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"14,300,000",1,O01,Biz,2,3房2廳2衛
商,,石坊街００６７號三樓之１#石坊街６７號三樓之１,華廈(10層含以下有電梯),,61.05%,O,,,112/07/06,有,,三層/七層,1,,888,2,1,0,24.8026905856318,120.96353137423387,有,,總價/總面積,,"361,207",bt_06.png,住家用,1,13,,20.21,Ks7Asth5Ub7HPEIgLdgNMfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"7,300,000",1,O01,Biz,2,2房2廳2衛
住,,龍山東路０２９０號四樓之２#龍山東路２９０號四樓之２,住宅大樓(11層含以上有電梯),,53.57%,O,,,112/07/07,有,59.93%,四層/二十三層,,11,889,1,1,1,24.786813019164043,121.01394472970652,有,,總價/總面積,,"406,053",bt_05.png,住家用,1,112,,96.05,6V59dFdKtr8PmmMLI2WQrfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"39,000,000",1,O01,Biz,2,4房2廳3衛
,丙種建築用地,柴橋路０５９巷００７３號七樓#柴橋路５９巷７３號七樓,住宅大樓(11層含以上有電梯),,64.20%,O,,,112/07/31,有,,七層/十一層,,,890,5,1,1,24.770639687312826,120.96680397838234,有,,總價/總面積,,"268,661",bt_05.png,住家用,1,91,,31.64,ozDaVEkWbr6stI4IypDAu/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"8,500,000",1,O01,Biz,2,3房2廳2衛
住,,培英街０３８巷００２２號５樓#培英街３８巷２２號５樓,公寓(5樓含以下無電梯),,76.00%,O,,,112/07/31,無,,"五層,屋頂突出物/五層",,42,891,1,1,0,24.795831508008508,120.97697469676226,無,,總價/總面積,陽台外推;,"205,451",bt_01.png,住家用,1,35,,35.04,f3tEvkznX6fMkJd4q2zbtPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"7,200,000",1,O01,Biz,2,3房2廳2衛
住,,埔頂三路０１００號四樓#埔頂三路１００號四樓,住宅大樓(11層含以上有電梯),,53.63%,O,,,112/07/28,有,,四層/十四層,,14,892,1,1,1,24.79161653053415,121.01062213931493,有,,總價/總面積,陽台外推;,"443,716",bt_05.png,住家用,1,64,,48.00,XCDei8YY/3ZjOT77LmEdxvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"21,300,000",1,O01,Biz,2,3房2廳2衛
商,,民生路０２５９號９樓之２#民生路２５９號９樓之２,住宅大樓(11層含以上有電梯),,61.28%,O,,,112/07/02,有,,九層/十三層,,27,893,2,1,1,24.812498004413474,120.97487453205491,有,,總價/總面積,其他增建為後陽台鐵窗其他增建;,"345,855",bt_05.png,住家用,1,33,,27.76,5HELWjod8zz35UBXEKWvI/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"9,600,000",1,O01,Biz,2,2房1廳1衛
商,,天府路二段００７８號#天府路二段７８號,華廈(10層含以下有電梯),,34.48%,O,,500,112/07/31,有,58.86%,"一層,見其他登記事項/十層",1,,894,1,1,5,24.840200961721013,120.92885141374616,有,,(總價-車位總價)/(總面積-車位總面積),,"411,091",bt_06.png,商業用,1,29,,83.06,FQEHS9ZYGWcK8v2rv04W3/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"25,000,000",1,O01,Biz,2,1衛
住,,牛埔東路００１５之５號十四樓#牛埔東路１５之５號十四樓,住宅大樓(11層含以上有電梯),,39.59%,O,,,112/07/08,有,62.11%,十四層/十五層,,15,895,1,1,2,24.79920213692964,120.95152489063915,有,,總價/總面積,陽台外推;,"283,927",bt_05.png,住家用,1,95,,56.35,jMSx0XvAlBZbSlS88q6ksPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"16,000,000",1,O01,Biz,2,3房2廳2衛
住,,關新路０１８８號九樓之１０#關新路１８８號九樓之１０,住宅大樓(11層含以上有電梯),,43.50%,O,,,112/07/30,有,,九層/二十四層,,12,896,1,1,2,24.787146369654533,121.02025452662436,有,,總價/總面積,,"479,838",bt_05.png,住家用,1,95,,58.98,+fiVoTugsHVGxsLN6GH2yfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"28,300,000",1,O01,Biz,2,3房2廳2衛
,丙種建築用地,柯湳一街０８０巷０００８號三樓#柯湳一街８０巷８號三樓,公寓(5樓含以下無電梯),,82.75%,O,,,112/07/16,無,,三層/五層,,22,897,2,1,0,24.753490110350718,120.95166128645593,有,,總價/總面積,,"139,980",bt_01.png,住家用,1,96,,24.36,8M1Z/GaqASGxiMeRr3QfKfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"3,410,000",1,O01,Biz,2,4房4衛
商,,石坊街００６７號六樓之２#石坊街６７號六樓之２,華廈(10層含以下有電梯),,58.48%,O,,,112/07/25,有,,六層/七層,1,,898,2,1,0,24.8026905856318,120.96353137423387,有,,總價/總面積,,"355,213",bt_06.png,住家用,1,13,,21.68,P5Mw8AwG4G2gpRUbR0BMrvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"7,700,000",1,O01,Biz,2,2房2廳2衛
商,,石坊街００６７號六樓之１#石坊街６７號六樓之１,華廈(10層含以下有電梯),,48.39%,O,,,112/07/25,有,,六層/七層,1,,899,2,1,0,24.8026905856318,120.96353137423387,有,,總價/總面積,,"377,679",bt_06.png,住家用,1,13,,18.53,d7kAbGJcRmigYXtuAmi5TfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"7,000,000",1,O01,Biz,2,2房2廳2衛
,乙種建築用地,明湖路１００８巷００１２號二樓之５#明湖路１００８巷１２號二樓之５,華廈(10層含以下有電梯),,59.38%,O,,,112/07/10,有,,二層/五層,,9,900,1,1,0,24.768357342109585,120.97695010025132,有,,總價/總面積,,"310,860",bt_06.png,住家用,1,25,,21.55,87VliW8fngJEVgUHin+gH/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"6,700,000",1,O01,Biz,2,2房2廳1衛
住,,關東路０２１７號六樓#關東路２１７號六樓,華廈(10層含以下有電梯),,63.78%,O,,,112/07/17,有,68.68%,六層/八層,,25,901,1,1,1,24.790496241356315,121.01831659701112,有,,總價/總面積,陽台外推;,"350,112",bt_06.png,住家用,1,38,,42.13,X7dg3+zqaV5kLwkIf/gCSPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"14,750,000",1,O01,Biz,2,3房2廳2衛
住,,東大路一段００２２號四樓#東大路一段２２號四樓,公寓(5樓含以下無電梯),,100.00%,O,,,112/07/25,無,,四層/五層,,,902,3,1,0,24.802115390478182,120.97668669471007,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"150,083",bt_01.png,住家用,1,11,,19.99,lv8LV+oL5n8oZ6CL1KdkHfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"3,000,000",1,O01,Biz,2,2房1廳2衛
住,,武陵路２５０巷００４４號５樓#武陵路２５０巷４４號５樓,華廈(10層含以下有電梯),,57.89%,O,,,112/07/31,有,,五層/六層,,29,903,1,1,0,24.82133625527222,120.9707475280487,無,,總價/總面積,,"391,610",bt_06.png,住家用,1,25,,13.53,ZcpWCGMNlVWPknZM+hvEgPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"5,300,000",1,O01,Biz,2,1房1廳1衛
住,,武陵路２７６巷０００５號４樓#武陵路２７６巷５號４樓,公寓(5樓含以下無電梯),,76.37%,O,,,112/07/20,無,,四層/五層,,42,904,2,1,0,24.822961487598928,120.97116264173194,無,,總價/總面積,鐵鋁窗增建其他增建;,"141,048",bt_01.png,住家用,1,27,,34.03,e3ZROvkCSP7HZ83YqtUYXPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"4,800,000",1,O01,Biz,2,3房2廳2衛
商,,林森路０２７５號４樓之２#林森路２７５號４樓之２,住宅大樓(11層含以上有電梯),,58.03%,O,,,112/07/13,有,,四層/十七層,,26,905,1,1,1,24.797345383926658,120.9624350684097,有,,總價/總面積,,"253,332",bt_05.png,辦公用,1,50,,39.28,JSKBx3sujNm748o/rqmSfPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"9,950,000",1,O01,Biz,2,3房2廳2衛
住,,新莊街０１７１號#新莊街１７１號,透天厝,,,O,,,112/07/24,無,,全/二層,,,906,1,1,0,24.788031526211572,121.01748547718064,無,,總價/總面積,,,bt_02.png,住家用,1,9,,42.35,FWldEPh60kiwvKzYq09ImvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"17,000,000",1,O01,Biz,2,5房1廳3衛
住,,光復路一段０３０巷００１弄０００２號６樓之２#光復路一段３０巷１弄２號６樓之２,華廈(10層含以下有電梯),,58.42%,O,,,112/07/27,有,,六層/六層,,31,907,2,1,0,24.78188190562969,121.02527753195844,無,,總價/總面積,陽台外推;,"294,721",bt_06.png,其他,1,15,,19.88,Nd1XsHCFGjGl1aWA6pyKkfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"5,860,000",1,O01,Biz,2,2房2廳1衛
住,,光復路一段３３５巷０１７弄００１９號二樓#光復路一段３３５巷１７弄１９號二樓,華廈(10層含以下有電梯),,64.94%,O,,,112/07/16,有,,二層/六層,,5,908,1,1,0,24.78201834941511,121.01822634695216,有,,總價/總面積,其他增建;,"557,864",bt_06.png,住家用,1,22,,28.50,uhAx2HyYRNAJU2bsq0VD2/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"15,900,000",1,O01,Biz,2,2房2廳1衛
商,,四維路０８９巷０００２之１號５樓之３#四維路８９巷２之１號５樓之３,住宅大樓(11層含以上有電梯),,62.82%,O,,,112/06/09,有,,五層/十四層,,25,909,2,1,1,24.80097437038492,120.96042610196241,有,,總價/總面積,陽台外推;,"237,233",bt_05.png,住家用,1,35,,38.15,6inorlRwbjuzxItnG7p8x/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"9,050,000",1,O01,Biz,2,4房2廳2衛
住,,經國路一段０８３０號３樓之２#經國路一段８３０號３樓之２,住宅大樓(11層含以上有電梯),,64.81%,O,,,112/06/08,有,,三層/十二層,,27,910,1,1,1,24.814121987741284,120.96868178453313,有,,總價/總面積,,"251,306",bt_05.png,住家用,1,24,,33.23,hAlu/bwhv50R4DIAsKeIGPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"8,350,000",1,O01,Biz,2,3房2廳2衛
,丁種建築用地,中華路一段００３３號#中華路一段３３號,透天厝,,,O,,,112/06/05,無,,全/三層,,50,911,2,1,2,24.817953333256003,120.9957660742787,無,,總價/總面積,其他增建;,,bt_02.png,住工用,1,24,,263.67,0m3efpzAvi+4+L8jIVgZOPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"55,800,000",1,O01,Biz,2,4房4衛
住,,東大路一段０５２巷００２６號５樓#東大路一段５２巷２６號５樓,公寓(5樓含以下無電梯),,61.68%,O,,,112/06/17,無,,五層/五層,,30,912,1,1,0,24.802910023662886,120.9774382739216,無,,總價/總面積,陽台外推;,"199,871",bt_01.png,住家用,1,12,,26.62,gcE4iDVO+fSTupLXCYZP0PPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"5,320,000",1,O01,Biz,2,2房2廳2衛
住,,長春街００６巷００１０號#長春街６巷１０號,透天厝,,,O,,,112/06/28,無,,全/二層,,38,913,1,1,0,24.784844744723074,121.01434009864886,無,,總價/總面積,頂樓加蓋;其他增建;,,bt_02.png,住商用,1,9,,33.04,XtqAp0KDMQb5xWGzNn6ob/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"18,000,000",1,O01,Biz,2,5房2廳3衛
,乙種建築用地,延平路二段１５４４巷００３弄０００１號#延平路二段１５４４巷３弄１號,透天厝,,,O,,,112/06/16,無,,全/二層,,42,914,1,1,0,24.82366030159967,120.92822772620228,無,,總價/總面積,防火巷其他增建;,,bt_02.png,住家用,1,9,,32.67,A/x5MdVQIQK744I6mijAEfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"4,860,000",1,O01,Biz,2,3房2廳1衛
商,,光復路二段０７３８號６樓之３#光復路二段７３８號６樓之３,華廈(10層含以下有電梯),,65.30%,O,,,112/06/16,有,,六層/七層,,31,915,1,1,0,24.800690273345868,120.98901112155825,有,,總價/總面積,陽台外推;,"417,332",bt_06.png,住家用,1,19,,7.91,mmYn5GoVMrIB+eD8KH6on/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"3,300,000",1,O01,Biz,2,1房1衛
住,,天府路一段０５３７號二樓#天府路一段５３７號二樓,住宅大樓(11層含以上有電梯),,48.52%,O,,,112/06/13,有,60.21%,二層/十四層,,15,916,1,1,1,24.838965774314328,120.93259205731428,有,,總價/總面積,陽台外推;,"219,266",bt_05.png,住家用,1,76,,46.98,lC967u1QGOUo7SAQTEv0pfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"10,300,000",1,O01,Biz,2,3房2廳2衛
商,,慈雲路０１３７號八樓之２#慈雲路１３７號八樓之２,住宅大樓(11層含以上有電梯),,51.43%,O,,,112/06/12,有,,八層/二十八層,,9,917,1,1,1,24.793115163955886,121.0122937409576,有,,總價/總面積,,"485,967",bt_05.png,住家用,1,106,,70.54,V0DnDtvY1DI2fNICIUEHt/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"34,280,000",1,O01,Biz,2,4房2廳2衛
,乙種建築用地,金雅八街００６５號六樓之３#金雅八街６５號六樓之３,華廈(10層含以下有電梯),,44.73%,O,,,112/06/12,有,61.25%,六層/十層,,1,918,1,1,1,24.826553929716493,120.96668026646245,有,,總價/總面積,,"417,121",bt_06.png,住家用,1,51,,34.33,kKm2j/u8Q8Q85/yaaerV/fPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"14,320,000",1,O01,Biz,2,2房2廳1衛
住,,水田街２０６巷００２４號#水田街２０６巷２４號,透天厝,,,O,,,112/06/18,無,,全/五層,,34,919,5,1,0,24.815702137967747,120.9693738392783,無,,總價/總面積,頂樓及露臺增建其他增建;,,bt_02.png,住家用,1,23,,52.76,T6t3hkJoGDaAOOf0saJnkPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"15,100,000",1,O01,Biz,2,5房2廳2衛
住,,城北街１３７巷００８弄０００７號#城北街１３７巷８弄７號,透天厝,,,O,,,112/06/25,無,,全/二層,,,920,1,1,0,24.812711969122535,120.96200508445568,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,,bt_02.png,住家用,1,9,,34.65,9kyrVAr1rwXnRgW9GNl7uvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"5,000,000",1,O01,Biz,2,3房2廳2衛
住,,成功路０１５７號#成功路１５７號,透天厝,,,O,,,112/06/25,無,,全/二層,,45,921,1,1,0,24.81349537753057,120.95454628198141,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,,bt_02.png,住商用,1,11,,42.22,sgNq80DEw1EWQWuEyaAXyfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"7,100,000",1,O01,Biz,2,3房2廳2衛
住,,東大路三段０３２６號八樓之２９#東大路三段３２６號八樓之２９,華廈(10層含以下有電梯),,36.22%,O,,,112/06/28,有,62.55%,八層/八層,,8,922,2,1,2,24.83487261205569,120.94703906166778,有,,總價/總面積,,"255,088",bt_06.png,住家用,1,105,,50.18,7dxxCQ0nQfV6hRUhm22bi/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"12,800,000",1,O01,Biz,2,2房2廳1衛
住,,經國路三段０９２巷０１６弄００１３號二樓#經國路三段９２巷１６弄１３號二樓,住宅大樓(11層含以上有電梯),,48.35%,O,,,112/06/21,有,62.71%,二層/十五層,,13,923,1,1,1,24.798163916418016,120.95172310978387,有,,總價/總面積,陽台加窗。其他增建;,"306,155",bt_05.png,住家用,1,86,,41.35,eSUHvEg7gD+7Ftxk+FQ9GvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"12,660,000",1,O01,Biz,2,2房2廳1衛
,丁種建築用地,景觀大道０２５６之６號#景觀大道２５６之６號,透天厝,,,O,,,112/06/14,無,,全/一層,-1,,924,3,1,0,24.782644359524816,120.95385536818303,無,,總價/總面積,未來會成立管理組織,,bt_02.png,工業用,1,42,,48.67,cVif4cd2P7znJq3ZBz4PqvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"29,200,000",1,O01,Biz,2,2衛
,丁種建築用地,景觀大道０２５６之５號#景觀大道２５６之５號,透天厝,,,O,,,112/06/14,無,,全/一層,-1,,925,3,1,0,24.782716572821048,120.9537960041645,無,,總價/總面積,未來會成立管理組織,,bt_02.png,工業用,1,42,,48.67,G7RDUk0yQ9e3MjOQw6/AQ/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"29,200,000",1,O01,Biz,2,2衛
,丁種建築用地,景觀大道０２５６之３號#景觀大道２５６之３號,透天厝,,,O,,,112/06/14,無,,全/一層,-1,,926,3,1,0,24.78278878609364,120.95373664007724,無,,總價/總面積,未來會成立管理組織,,bt_02.png,工業用,1,42,,48.67,ER0xzh4xpoYd0B0P8hO0h/PJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"29,200,000",1,O01,Biz,2,2衛
住,,公園路０３１８號十八樓#公園路３１８號十八樓,住宅大樓(11層含以上有電梯),,45.97%,O,,465,112/06/20,有,56.69%,十八層/二十六層,,9,927,1,1,3,24.801971024539025,120.9773197508775,有,,(總價-車位總價)/(總面積-車位總面積),購買數戶親友、員工、共有人或其他特殊關係間之交易;,"386,621",bt_05.png,住家用,1,51,,132.55,BlMDI99wQO1b+4b5UrqbAPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"46,200,000",1,O01,Biz,2,
,丙種建築用地,藝術路０００１號三樓之９#藝術路１號三樓之９,華廈(10層含以下有電梯),,50.11%,O,,160,112/06/21,有,60.83%,三層/六層,,1,928,1,1,1,24.769240366325878,120.96735810562217,有,,(總價-車位總價)/(總面積-車位總面積),預售屋、或土地及建物分件登記案件;,"403,005",bt_06.png,其他,1,103,,52.72,pIjp2rx2sM4wt0vr2P/EYfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"19,100,000",1,O01,Biz,2,1廳2衛
住,,世界街１１２巷０００８號２樓#世界街１１２巷８號２樓,公寓(5樓含以下無電梯),,90.69%,O,,,112/06/15,無,,二層/五層,,37,929,2,1,0,24.809400125804633,120.96916766297758,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"271,078",bt_01.png,住家用,1,27,,7.38,4yjOPXdhLa7RuK1O7ZbPpfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"2,000,000",1,O01,Biz,2,3房2廳2衛
住,,世界街１１２巷０００８號２樓#世界街１１２巷８號２樓,公寓(5樓含以下無電梯),,90.67%,O,,,112/06/15,無,,二層/五層,,37,930,1,1,0,24.809400125804633,120.96916766297758,有,,總價/總面積,"賣方每人各200萬元, 合計400萬元親友、員工、共有人或其他特殊關係間之交易;","271,078",bt_01.png,住家用,1,27,,14.76,oDjvbT+GbQZ5vCqVF8JvAPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"4,000,000",1,O01,Biz,2,3房2廳2衛
住,,光復路一段５７６巷００４０號７樓之２#光復路一段５７６巷４０號７樓之２,華廈(10層含以下有電梯),,61.57%,O,,,112/06/09,有,,七層/十層,,26,931,2,1,0,24.791851463454503,121.00737814792268,有,,總價/總面積,夾層;,"444,698",bt_06.png,住家用,1,47,,17.32,Yy1paW7zMtzHQnViQmQ+2fPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"7,700,000",1,O01,Biz,2,2房2廳2衛
商,,天府路二段００８０號三樓之２#天府路二段８０號三樓之２,華廈(10層含以下有電梯),,45.31%,O,,100,112/06/20,有,63.57%,三層/十層,1,,932,1,1,1,24.840200961721013,120.92885141374616,無,,(總價-車位總價)/(總面積-車位總面積),,"291,686",bt_06.png,住家用,1,29,,23.95,gfA6zc4WjZzmtyb5VtChlvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"5,980,000",1,O01,Biz,2,1房1廳1衛
,丙種建築用地,藝術路０００１號四樓之８#藝術路１號四樓之８,華廈(10層含以下有電梯),,49.02%,O,,120,112/06/25,有,61.75%,四層/六層,,1,933,1,1,1,24.769240366325878,120.96735810562217,有,,(總價-車位總價)/(總面積-車位總面積),親友、員工、共有人或其他特殊關係間之交易;預售屋、或土地及建物分件登記案件;,"290,159",bt_06.png,其他,1,103,,45.07,finqCMJM1r+8JU3RmKKwXfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"11,580,000",1,O01,Biz,2,1廳2衛
,丙種建築用地,藝術路００３５號四樓之９#藝術路３５號四樓之９,華廈(10層含以下有電梯),,50.11%,O,,150,112/06/21,有,60.83%,四層/六層,,1,934,1,1,1,24.769240366325878,120.96735810562217,有,,(總價-車位總價)/(總面積-車位總面積),預售屋、或土地及建物分件登記案件;,"398,628",bt_06.png,其他,1,103,,52.72,GbT7D1pB9rX/gho9uu3XCPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"18,810,000",1,O01,Biz,2,1廳2衛
