AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,pimg,pu,punit,r,reid,s,sq,t,tp,tunit,twn,type,unit,v
工,,０７０５之５２號五樓#中華路四段７０５之５２號五樓,華廈(10層含以下有電梯),,45.54%,O,,,112/09/18,有,,五層/六層,,16,13,2,1,0,24.788259817203347,120.92972171429406,有,,總價/總面積,,"179,098",bt_06.png,住家用,1,43,,8.65,+6bRP9lUK6TdIzQl26VPoPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"1,550,000",1,O01,Biz,2,1房1衛
,丙種建築用地,明湖路６４８巷００７９號２樓#明湖路６４８巷７９號２樓,華廈(10層含以下有電梯),,74.67%,O,,,112/09/12,有,,二層/七層,,33,14,1,1,0,24.77213769681219,120.9635699701956,有,,總價/總面積,,"156,248",bt_06.png,住家用,1,37,,24.00,KWuJcotcmc7fH9+haSahQvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"3,750,000",1,O01,Biz,2,2房2廳1衛
商,,埔頂三路００３０號十八樓之８#埔頂三路３０號十八樓之８,住宅大樓(11層含以上有電梯),,46.95%,O,,,112/09/11,有,57.76%,十八層/二十九層,-1,,15,1,1,1,24.790343317661282,121.01285720683475,有,,總價/總面積,,"552,641",bt_05.png,住家用,1,95,,46.68,JsoJX/zDe+xQ0rQSwXQUQfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"25,800,000",1,O01,Biz,2,3房2廳2衛
住,,南大路００７６號#南大路７６號,透天厝,,,O,,,112/09/20,無,,全/一層,,10,16,2,1,0,24.802413413248573,120.9772207592413,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,,bt_02.png,商業用,1,20,,6.75,5Q6Oh8CTtZiDbrMqPu4OuPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"13,800,000",1,O01,Biz,2,4廳1衛
,甲種建築用地,牛埔北路２３１巷００１４號#牛埔北路２３１巷１４號,透天厝,,,O,,,112/09/08,無,,全/二層,,49,17,1,1,0,24.803549057582376,120.93829866141688,無,,總價/總面積,其他增建;,,bt_02.png,住家用,1,9,,31.18,S1IJGRbGwAxHnNrTxGoKDfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"7,800,000",1,O01,Biz,2,6房1廳6衛
其他,,忠孝路０２７巷００１０號十四樓#忠孝路２７巷１０號十四樓,住宅大樓(11層含以上有電梯),,52.60%,O,,,112/09/12,有,62.98%,十四層/十五層,,9,18,1,1,1,24.801963382265825,120.99002979065482,有,,總價/總面積,,"465,160",bt_05.png,辦公用,1,48,,57.40,NqrL8q99jQE6TXZ7pZVRlfPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"26,700,000",1,O01,Biz,2,4房2廳2衛
,丙種建築用地,明湖路１２００巷００２０號#明湖路１２００巷２０號,透天厝,,,O,,,112/09/23,無,,全/四層,,17,19,3,1,0,24.765278995318578,120.97998633750507,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,,bt_02.png,住家用,1,63,,66.89,KHEWgokYaAjfMMhXkV5kzPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),0,1,O01,Biz,2,4房2廳3衛
住,,西大路０７６８號四樓之１#西大路７６８號四樓之１,住宅大樓(11層含以上有電梯),,61.75%,O,,,112/09/28,有,,四層/十一層,,29,20,1,1,1,24.81051709322911,120.95850407132032,有,,總價/總面積,,"184,922",bt_05.png,其他,1,44,,41.64,Mym2FHIZVCs1oHDbuACvZvPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"7,700,000",1,O01,Biz,2,3房2廳2衛
商,,經國路二段０１１１號１２樓之８#經國路二段１１１號１２樓之８,住宅大樓(11層含以上有電梯),,63.97%,O,,,112/09/11,有,,十二層/十二層,,26,21,2,1,0,24.812008483602227,120.96505199692177,有,,總價/總面積,,"216,245",bt_05.png,辦公用,1,29,,9.02,zK86On2sOXkDKOV9C9mmzPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物),"1,950,000",1,O01,Biz,2,1房1衛
住,,慈祥路０００３號九樓之３#慈祥路３號九樓之３,住宅大樓(11層含以上有電梯),,40.39%,O,,,112/09/04,有,57.97%,九層/十四層,,9,22,2,1,1,24.792004933561245,121.00781332979783,有,,總價/總面積,,"463,795",bt_05.png,住家用,1,43,,42.04,r7FKRtmGyvqe7aRxlimDyPPJxFjSDt/iFD+qSYGSt/Q=,房地(土地+建物)+車位,"19,500,000",1,O01,Biz,2,2房2廳1衛
