longitude,latitude,house_age,area,elevator,janitor,parking_space,closing_year,bedroom,living_room,bathroom,residential,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,sale_floor_basement,sale_floor_other,sale_floor,total_floor,price
120.905668,24.75067836,25,33.26,1,1,1,112,3,2,2,0,0,0,1,0,0,0,0,5,5,6680000
120.9773165,24.76546822,29,17.98,1,1,0,112,3,2,2,1,0,0,1,0,0,0,0,1,5,5000000
120.9736258,24.82358491,31,10.85,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,3,7,3700000
120.9610504,24.7972096,25,25.56,1,0,0,112,2,2,1,1,0,0,0,1,0,0,0,3,12,6780000
121.0090103,24.79491208,28,38.63,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,7,7,13950000
120.9776431,24.76376186,26,46.58,1,1,1,112,4,2,2,1,0,0,1,0,0,0,0,7,10,8500000
120.968195,24.82240111,23,34.79,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,20,20,9860000
120.9740935,24.81058381,2,19.24,1,1,1,112,2,1,1,1,0,0,1,0,0,0,0,5,5,12800000
120.9655723,24.82645438,3,46.18,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,6,11,16800000
120.9672058,24.82196752,25,35.31,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,16,22,9000000
121.0023639,24.79639304,16,10.9,1,1,0,112,0,0,0,1,0,0,1,0,0,0,0,5,6,6460000
120.9951237,24.80314638,17,66.3,1,1,2,112,4,2,2,1,0,0,0,1,0,0,0,2,13,27720000
120.959368,24.80032402,9,23.94,1,1,1,112,3,2,2,0,0,0,1,0,0,0,0,8,9,11000000
121.0131831,24.78623527,28,29.7,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,5,13,11100000
120.9769501,24.76835734,9,25.44,1,0,1,112,2,2,1,1,0,0,1,0,0,0,0,3,5,8600000
120.9554996,24.80313082,14,15.54,1,1,0,112,2,1,1,0,0,0,1,0,0,0,0,10,10,6120000
120.9638381,24.80226633,17,7.05,1,0,0,112,0,0,0,1,0,0,1,0,0,0,0,2,5,2700000
121.0166849,24.79208547,10,55.8,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,14,22,30500000
120.9853603,24.80989915,10,46.62,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,3,15,20480000
120.9521081,24.80006005,31,33.89,1,1,0,112,0,0,0,1,0,0,1,0,0,0,0,7,7,11800000
120.9609127,24.79466348,29,35.28,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,6,12,10200000
120.9559448,24.8029865,15,13.05,1,1,0,112,1,1,1,0,0,0,1,0,0,0,0,2,10,5300000
121.0125901,24.78980162,4,50.7,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,17,29,25680000
120.9512055,24.75599092,22,59.46,0,0,0,112,0,0,0,0,0,1,0,0,1,0,0,0,3,10600000
120.9783592,24.79677972,38,12.83,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,2,5,4000000
120.9536925,24.79501354,30,29.89,1,1,0,112,2,2,2,1,0,0,1,0,0,0,0,2,6,7700000
120.9558257,24.80396155,17,61.08,1,1,1,112,4,2,2,1,0,0,0,1,0,0,0,5,13,20400000
120.9506522,24.75509689,26,17.74,0,0,0,112,1,1,1,1,1,0,0,0,0,0,0,4,5,760000
120.9667522,24.81653221,26,44.97,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,7,7,11220000
